Date,Longitude,Latitude,Depth,Type,Magnitude,Location,EventID,TimeName,TypeName,MagnitudeName
"14/03/2001 21:34:20",27.611,40.845,11,"Md",4.1,"-",20088,"ATH","ATH","ATH"
"16/01/2001 04:33:02",29.07,40.9,13,"mb",4.1,"-",20047,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"07/07/2000 02:15:32",29.339,40.863,8.9,"mb",4.5,"-",19931,"ISC","ISC","ISC"
"02/04/2000 20:57:38",30.328,40.853,2.1,"mb",4.5,"-",19871,"ISC","ISC","ISC"
"09/02/2000 17:41:32",29.94,40.77,11,"mb",4.1,"-",19833,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"31/01/2000 15:38:51",29.252,40.712,9.7,"mb",4.1,"-",19828,"ISC","ISC","ISC"
"11/11/1999 15:55:25",30.208,40.804,2.5,"mb",4,"-",19724,"ISC","ISC","ISC"
"11/11/1999 15:41:26",30.2422,40.7425,17.9,"Mw",5.6,"-",19723,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"21/10/1999 01:08:21",28.992,40.816,10,"mb",4.7,"-",19708,"ISC","ISC","ISC"
"29/09/1999 02:13:07",29.354,40.734,7.9,"Mw",5.2,"-",19696,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"20/09/1999 23:28:02",27.616,40.618,18,"mb",4.7,"-",19691,"ISC","ISC","ISC"
"19/09/1999 22:26:36",30.481,40.691,5.6,"mb",4.2,"-",19690,"ISC","ISC","ISC"
"18/09/1999 02:48:26",29.225,40.599,9.3,"mb",4.6,"-",19687,"ISC","ISC","ISC"
"17/09/1999 21:50:05",30.134,40.774,9.7,"mb",4.4,"-",19686,"ISC","ISC","ISC"
"13/09/1999 13:55:30",30.0169,40.7327,17.8,"Mw",5.8,"-",19684,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"09/09/1999 03:32:08",29.14,40.71,11,"mb",4,"-",19677,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"06/09/1999 08:33:27",29.746,40.788,17.2,"mb",4,"-",19654,"LDG","LDG","LDG"
"04/09/1999 20:27:44",30.29,40.72,10,"mb",4.1,"-",19652,"Kalafat ve Diğ.2011","Kalafat ve Diğ.2011","Kalafat ve Diğ.2011"
"04/09/1999 12:30:53",29.935,40.7,10.4,"mb",4,"-",19651,"NEIC","NEIC","NEIC"
"01/09/1999 00:28:34",29.077,40.613,4.5,"mb",4.4,"-",19645,"ISC","ISC","ISC"
"31/08/1999 10:33:25",29.908,40.697,10,"mb",4.6,"-",19644,"ISC","ISC","ISC"
"31/08/1999 10:10:52",29.8943,40.7064,20,"Mw",5.1,"-",19643,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"26/08/1999 19:49:39",30.003,40.769,12.2,"mb",4.8,"-",19638,"NEIC","NEIC","NEIC"
"24/08/1999 20:58:58",30.023,40.749,9,"mb",4.2,"-",19634,"NEIC","NEIC","NEIC"
"22/08/1999 03:47:30",29.075,40.609,23.9,"mb",4.1,"-",19626,"ISC","ISC","ISC"
"21/08/1999 21:21:24",30.447,40.715,1.1,"mb",4,"-",19625,"ISC","ISC","ISC"
"20/08/1999 11:48:38",29.802,40.738,12.5,"mb",4,"-",19622,"NEIC","NEIC","NEIC"
"20/08/1999 11:28:57",29.193,40.605,8.8,"mb",4.5,"-",19621,"ISC","ISC","ISC"
"20/08/1999 02:03:02",29.846,40.766,9.5,"mb",4.3,"-",19620,"ISC","ISC","ISC"
"19/08/1999 17:26:21",29.098,40.619,4,"mb",4.1,"-",19618,"ISC","ISC","ISC"
"19/08/1999 17:17:47",29.205,40.571,14,"Mw",5.1,"-",19617,"HRVD-GCMT","HRVD-GCMT","HRVD-GCMT"
"19/08/1999 16:24:34",29.021,40.611,5.1,"mb",4.1,"-",19616,"ISC","ISC","ISC"
"19/08/1999 16:16:00",29.194,40.6,8.8,"mb",4.5,"-",19615,"ISC","ISC","ISC"
"18/08/1999 17:34:17",30.069,40.797,7.6,"mb",4,"-",19610,"ISC","ISC","ISC"
